INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003,2015,7,6,6,7.0,7.0,4.0,7.0,7.0,3.0,7.0,7.0,0.0,,8.0,98.0,,32,5.0,0.0,1.0,,,,,7.0,1.0,85226.0
3003,2015,6,6,8,10.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,0.0,,7.0,26.0,,24,4.0,0.0,1.0,,,,,6.0,1.0,76201.0
3003,2015,9,9,6,7.0,8.0,4.0,8.0,8.0,10.0,8.0,7.0,0.0,,9.0,10.0,,34,4.0,0.0,1.0,3.0,,,,7.0,2.0,28463.0
3003,2015,7,5,6,7.0,7.0,3.0,6.0,6.0,5.0,7.0,7.0,1.0,5.0,8.0,5.0,,30,4.0,0.0,1.0,,,,,7.0,1.0,60657.0
3003,2015,5,5,5,8.0,4.0,3.0,7.0,5.0,5.0,4.0,4.0,0.0,,6.0,98.0,,38,4.0,0.0,1.0,,,,,7.0,1.0,40291.0
3003,2015,9,5,6,8.0,7.0,2.0,8.0,9.0,2.0,9.0,9.0,0.0,,10.0,98.0,,48,3.0,0.0,1.0,,,,,7.0,2.0,75082.0
3003,2015,9,8,9,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,0.0,,10.0,15.0,,24,5.0,0.0,2.0,,,,,1.0,2.0,14201.0
3003,2015,8,8,9,9.0,10.0,7.0,9.0,9.0,8.0,6.0,9.0,1.0,7.0,10.0,10.0,,35,5.0,0.0,1.0,,,,,5.0,2.0,84107.0
3003,2015,9,8,8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,,9.0,98.0,,59,4.0,0.0,1.0,,,,,7.0,1.0,78717.0
3003,2015,9,5,9,6.0,8.0,7.0,9.0,9.0,5.0,8.0,10.0,1.0,9.0,10.0,10.0,,46,4.0,0.0,1.0,,,,,6.0,2.0,14424.0
3003,2015,9,8,8,10.0,9.0,3.0,9.0,9.0,3.0,9.0,9.0,0.0,,10.0,12.0,,52,5.0,0.0,1.0,,,,,6.0,1.0,37891.0
3003,2015,10,10,9,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,,8.0,20.0,,41,5.0,1.0,1.0,,,,,7.0,1.0,32579.0
